20 647294.77895 .30996 89.90737 5.21705 301.80402 .000066851
40 630083.03285 .38468 87.28736 69.52418 595.49348 .000135481
60 606388.63863 .33629 88.27016 230.80159 899.45301 .000213132
80 598041.15341 .36358 88.85085 555.63256 1184.48155 .000284740
100 581043.32104 .38132 87.11802 1001.81501 1492.02954 .000369088
