0 148.905427333
1 114.891301332
2 140.125720666
3 180.117778664
4 324.224451997
5 279.080346664
6 208.853767998
7 111.402236666
8 184.580520664
9 137.507935332
10 214.796916663
11 175.870879998
12 265.849628664
13 171.285293333
14 156.182648666
15 242.808804665
16 211.459119999
17 141.005431998
18 144.074033332
19 48.342668664
20 148.526225999
21 142.312409998
22 182.850436665
23 297.467341997
24 222.980537332
25 124.240039332
26 179.787962664
27 222.369389998
28 66.868930666
29 71.940207999
30 158.382037332
31 210.401329997
32 112.344440666
33 223.893659998
34 79.147546666
35 106.954971333
36 36.975779332
37 106.796772664
38 177.247594664
39 168.581413330
