0 119.365501999
1 15.047683332
2 80.716289999
3 266.555594664
4 118.910069332
5 185.346312664
6 36.568955999
7 148.475646665
8 141.929863333
9 111.979778665
10 36.656059333
11 176.508438664
12 212.486945998
13 346.931423997
14 379.636677996
15 186.954909330
16 246.905069331
17 280.255540663
18 196.613567331
19 344.270535330
20 215.246705331
21 221.674044664
22 246.442574664
23 314.797666664
24 217.721800665
25 114.136751332
26 237.686961998
27 79.643811330
28 73.316537331
29 171.351962665
30 78.873247333
31 71.966517332
32 217.944851330
33 268.298855331
34 139.527810666
35 107.214551998
36 253.265107997
37 133.367571998
38 223.052277997
39 155.071292664
