0 140.649664665
1 70.384743999
2 140.262225999
3 197.621009999
4 169.244283331
5 139.063853999
6 289.450911999
7 118.599817999
8 104.693271999
9 187.108977998
10 143.357842665
11 210.315043998
12 187.790031331
13 36.817810666
14 278.066163330
15 286.727097997
16 254.259917997
17 241.240714665
18 34.115669333
19 146.638761331
20 150.402612000
21 106.079463998
22 249.759826665
23 182.192653998
24 185.389317331
25 169.170775332
26 176.311258665
27 245.181120666
28 115.424449998
29 72.817080666
30 69.895107999
31 109.253176666
32 183.105643999
33 186.130835330
34 265.068769997
35 159.303848664
36 37.122156000
37 72.651458665
38 207.146095332
39 71.449114665
