0 140.666191331
1 102.505351999
2 69.889041332
3 137.399091331
4 204.017454664
5 33.271826000
6 209.849608665
7 143.239848665
8 134.693993332
9 134.825700664
10 69.812752666
11 310.420253996
12 259.093281997
13 208.908381331
14 208.618813999
15 248.909706665
16 272.127055998
17 147.831628664
18 189.719821331
19 217.080896665
20 153.540862664
21 147.928219997
22 143.942686664
23 237.335269998
24 248.456145997
25 104.337395998
26 209.988622665
27 280.261491996
28 174.602453998
29 68.129497333
30 156.625167999
31 39.973987999
32 102.093063332
33 247.067977330
34 102.704567332
35 216.600610664
36 168.752703332
37 102.786644666
38 206.707618664
39 114.188628665
