0 45.021277332
1 74.541765999
2 246.699611997
3 113.867126665
4 210.928157330
5 72.000103333
6 134.534372665
7 36.197755333
8 207.488189330
9 221.519042662
10 143.059976665
11 221.092672665
12 68.571992666
13 171.230772665
14 216.101822664
15 222.211305331
16 241.694459997
17 370.322389996
18 247.217521997
19 106.417319331
20 86.871899997
21 140.771296666
22 192.873613997
23 138.181083331
24 103.579725331
25 287.137629997
26 185.980090664
27 251.440622664
28 173.694734665
29 216.298877331
30 172.554188665
31 135.135533998
32 104.707661332
33 137.278904665
34 212.429434665
35 206.530029998
36 137.066272000
37 143.219447999
38 104.347093999
39 151.658813999
