0 72.927796666
1 73.698999999
3 37.745205333
4 173.020568665
5 67.755740666
6 33.275342666
7 136.359015331
8 67.052043999
9 70.745447333
10 33.268494000
11 101.756083999
12 36.476051333
13 70.986852000
14 100.154220666
15 110.286759999
16 105.285221332
17 106.711298665
18 133.728677999
19 66.736542000
20 33.278988000
21 105.082626665
22 108.258908665
23 172.364379998
24 108.688251999
25 66.694329333
26 177.667023332
27 103.139509331
28 36.463103333
29 73.690639333
30 36.187104000
31 33.346242666
32 34.654570666
33 141.301047332
34 74.297347332
35 33.277030666
36 66.714284666
37 135.545452666
38 33.428380666
39 3.061133333
