1 109.656299333
2 103.779189332
3 33.288780666
4 37.128654666
5 37.466920000
7 72.648207999
8 33.569117333
9 72.145908666
11 33.503505333
12 66.894115333
14 102.919193332
15 33.342596000
18 140.719458665
21 101.435794666
22 33.506514000
23 37.390988000
24 68.328731332
25 106.250991332
26 36.126578666
27 107.375511332
28 33.303114666
29 37.302884000
31 36.289080666
32 136.871124666
33 33.569257333
34 103.667030665
35 36.718085333
36 2.397950000
38 33.401603333
39 102.996176666
41 104.227611999
42 33.255428666
43 75.024756666
44 34.166039333
45 73.855740666
47 36.636683999
52 33.257890000
53 68.080105999
56 33.288140000
57 102.459026665
59 35.939580000
60 37.631830666
61 67.545976000
62 37.204265333
65 101.235464000
66 33.301376000
68 66.602832000
69 100.033010666
70 37.285478000
71 33.493712000
73 33.534025333
74 100.793257333
75 66.689578000
76 69.062053999
78 34.079060666
79 3.181849333
