0 1218.688537998
1 1158.249661998
2 679.378379998
3 504.960139333
4 925.441175332
5 685.943020666
6 497.265649333
7 676.398743999
8 445.759064666
9 447.791392666
10 489.980449333
11 1640.893107331
12 937.487963333
13 227.091590000
14 447.336666666
15 968.245997332
17 224.488694666
18 225.782640666
19 684.661021333
20 686.761601998
21 1136.687745998
22 504.088468666
23 916.069106665
24 957.432167998
25 1146.088284665
26 1132.701825332
27 453.443597333
28 1145.079029998
29 710.434449333
30 891.516475999
31 936.412316665
32 934.130925332
33 684.745893999
34 1010.490019332
35 1582.812005332
36 897.384546665
37 691.035335999
38 677.004348666
39 668.894117333
