-1 10 
0 1135.460178665
1 1343.992695998
2 1569.240293331
3 906.010361332
4 1588.813584664
5 1121.850580665
6 1577.624023997
7 898.766441332
8 1123.687781998
9 1343.829795999
10 1783.456201997
11 1564.286991329
12 1586.888169997
13 1340.183207998
14 676.086413332
15 1351.076737998
16 902.393097999
17 1578.017411997
18 1587.353739331
19 2018.258911997
-1 20 
0 2061.335598664
1 2484.265072662
2 2492.183447330
3 2288.618185331
4 2697.799780663
5 2044.702457330
6 2473.895378663
7 2483.127090663
8 2277.954013331
9 1133.713087331
10 2314.236329997
11 2249.469739330
12 2082.051495331
13 1592.401564664
14 2270.413077998
15 1814.602913997
16 2458.474768663
17 2010.675408664
18 2029.411695330
19 1830.105203998
-1 30 
0 2477.233721997
1 2289.406661331
2 3332.790836664
3 2469.886462662
4 2256.093475331
5 1795.858371998
6 2489.424141996
7 2687.212463996
8 2741.789167996
9 2458.834795996
10 3187.400461996
11 2522.015837996
12 2500.284821997
13 3171.470390663
14 2681.668925996
15 2282.065980665
16 2263.233933996
17 2028.777436665
18 3132.173270663
19 2935.339827329
-1 40 
0 3187.113291996
1 3058.893649996
2 3139.870412661
3 3422.838290662
4 2465.596613996
5 3237.383818662
6 2904.490107331
7 2724.164149995
8 2481.175872664
9 2721.020745996
10 3220.724691329
11 2973.308305328
12 3200.619403996
13 3138.802618662
14 3121.901595996
15 2493.087409330
16 3184.457865328
17 3163.324375996
18 2716.818911330
19 3191.609648662
-1 50 
0 3158.848635996
1 3425.885439329
2 3248.904113995
3 3010.271089329
4 3145.900648663
5 3373.106096663
6 3436.502131996
7 2938.512993329
8 2596.445873997
9 3158.762897327
10 2283.483165996
11 2948.965161329
12 3170.361275328
13 3123.389196661
14 2505.825655329
15 3403.896675996
16 3636.046999330
17 3161.168990663
18 3211.785139329
19 3458.051149994
