20 5450166.29679 .06429 93.26528 .74410
40 3475070.88414 .07253 87.81047 .14081
60 2726721.21616 .06865 89.50336 0
80 2157838.50393 .08587 88.69226 0
100 1676644.88973 .08910 87.67766 0
